Aerial                         @2.2.6          aqua/Aerial
p5-class-data-accessor         @0.40.40        perl/p5-class-data-accessor
p5.28-class-data-accessor      @0.40.40        perl/p5-class-data-accessor
p5.30-class-data-accessor      @0.40.40        perl/p5-class-data-accessor
p5.32-class-data-accessor      @0.40.40        perl/p5-class-data-accessor
p5-class-data-inheritable      @0.90.0         perl/p5-class-data-inheritable
p5.28-class-data-inheritable   @0.90.0         perl/p5-class-data-inheritable
p5.30-class-data-inheritable   @0.90.0         perl/p5-class-data-inheritable
p5.32-class-data-inheritable   @0.90.0         perl/p5-class-data-inheritable
p5-class-dbi                   @3.0.17         perl/p5-class-dbi
p5.28-class-dbi                @3.0.17         perl/p5-class-dbi
p5.30-class-dbi                @3.0.17         perl/p5-class-dbi
p5.32-class-dbi                @3.0.17         perl/p5-class-dbi
p5-class-dbi-abstractsearch    @0.70.0         perl/p5-class-dbi-abstractsearch
p5.28-class-dbi-abstractsearch @0.70.0         perl/p5-class-dbi-abstractsearch
p5.30-class-dbi-abstractsearch @0.70.0         perl/p5-class-dbi-abstractsearch
p5.32-class-dbi-abstractsearch @0.70.0         perl/p5-class-dbi-abstractsearch
p5-class-dbi-mysql             @1.0.0          perl/p5-class-dbi-mysql
p5.28-class-dbi-mysql          @1.0.0          perl/p5-class-dbi-mysql
p5.30-class-dbi-mysql          @1.0.0          perl/p5-class-dbi-mysql
p5.32-class-dbi-mysql          @1.0.0          perl/p5-class-dbi-mysql
p5-class-dbi-pg                @0.90.0         perl/p5-class-dbi-pg
p5.28-class-dbi-pg             @0.90.0         perl/p5-class-dbi-pg
p5.30-class-dbi-pg             @0.90.0         perl/p5-class-dbi-pg
p5.32-class-dbi-pg             @0.90.0         perl/p5-class-dbi-pg
p5-class-dbi-plugin            @0.30.0         perl/p5-class-dbi-plugin
p5.28-class-dbi-plugin         @0.30.0         perl/p5-class-dbi-plugin
p5.30-class-dbi-plugin         @0.30.0         perl/p5-class-dbi-plugin
p5.32-class-dbi-plugin         @0.30.0         perl/p5-class-dbi-plugin
p5-class-dbi-plugin-abstractcount @0.80.0         perl/p5-class-dbi-plugin-abstractcount
p5.28-class-dbi-plugin-abstractcount @0.80.0         perl/p5-class-dbi-plugin-abstractcount
p5.30-class-dbi-plugin-abstractcount @0.80.0         perl/p5-class-dbi-plugin-abstractcount
p5.32-class-dbi-plugin-abstractcount @0.80.0         perl/p5-class-dbi-plugin-abstractcount
p5-class-dbi-plugin-pager      @0.566.0        perl/p5-class-dbi-plugin-pager
p5.28-class-dbi-plugin-pager   @0.566.0        perl/p5-class-dbi-plugin-pager
p5.30-class-dbi-plugin-pager   @0.566.0        perl/p5-class-dbi-plugin-pager
p5.32-class-dbi-plugin-pager   @0.566.0        perl/p5-class-dbi-plugin-pager
p5-class-dbi-uuid              @1.10.0         perl/p5-class-dbi-uuid
p5.28-class-dbi-uuid           @1.10.0         perl/p5-class-dbi-uuid
p5.30-class-dbi-uuid           @1.10.0         perl/p5-class-dbi-uuid
p5.32-class-dbi-uuid           @1.10.0         perl/p5-class-dbi-uuid
p5-class-errorhandler          @0.40.0         perl/p5-class-errorhandler
p5.28-class-errorhandler       @0.40.0         perl/p5-class-errorhandler
p5.30-class-errorhandler       @0.40.0         perl/p5-class-errorhandler
p5.32-class-errorhandler       @0.40.0         perl/p5-class-errorhandler
p5-class-factory-util          @1.700.0        perl/p5-class-factory-util
p5.28-class-factory-util       @1.700.0        perl/p5-class-factory-util
p5.30-class-factory-util       @1.700.0        perl/p5-class-factory-util
p5.32-class-factory-util       @1.700.0        perl/p5-class-factory-util
p5-class-generate              @1.180.0        perl/p5-class-generate
p5.28-class-generate           @1.180.0        perl/p5-class-generate
p5.30-class-generate           @1.180.0        perl/p5-class-generate
p5.32-class-generate           @1.180.0        perl/p5-class-generate
p5-class-gomor                 @1.30.0         perl/p5-class-gomor
p5.28-class-gomor              @1.30.0         perl/p5-class-gomor
p5.30-class-gomor              @1.30.0         perl/p5-class-gomor
p5.32-class-gomor              @1.30.0         perl/p5-class-gomor
p5-class-inner                 @0.200.1        perl/p5-class-inner
p5.28-class-inner              @0.200.1        perl/p5-class-inner
p5.30-class-inner              @0.200.1        perl/p5-class-inner
p5.32-class-inner              @0.200.1        perl/p5-class-inner
p5-class-insideout             @1.140.0        perl/p5-class-insideout
p5.28-class-insideout          @1.140.0        perl/p5-class-insideout
p5.30-class-insideout          @1.140.0        perl/p5-class-insideout
p5.32-class-insideout          @1.140.0        perl/p5-class-insideout
p5-class-inspector             @1.360.0        perl/p5-class-inspector
p5.28-class-inspector          @1.360.0        perl/p5-class-inspector
p5.30-class-inspector          @1.360.0        perl/p5-class-inspector
p5.32-class-inspector          @1.360.0        perl/p5-class-inspector
p5-class-isa                   @0.360.0        perl/p5-class-isa
p5.28-class-isa                @0.360.0        perl/p5-class-isa
p5.30-class-isa                @0.360.0        perl/p5-class-isa
p5.32-class-isa                @0.360.0        perl/p5-class-isa
p5-class-load                  @0.250.0        perl/p5-class-load
p5.28-class-load               @0.250.0        perl/p5-class-load
p5.30-class-load               @0.250.0        perl/p5-class-load
p5.32-class-load               @0.250.0        perl/p5-class-load
p5-class-load-xs               @0.100.0        perl/p5-class-load-xs
p5.28-class-load-xs            @0.100.0        perl/p5-class-load-xs
p5.30-class-load-xs            @0.100.0        perl/p5-class-load-xs
p5.32-class-load-xs            @0.100.0        perl/p5-class-load-xs
p5-class-loader                @2.30.0         perl/p5-class-loader
p5.28-class-loader             @2.30.0         perl/p5-class-loader
p5.30-class-loader             @2.30.0         perl/p5-class-loader
p5.32-class-loader             @2.30.0         perl/p5-class-loader
p5-class-makemethods           @1.10.0         perl/p5-class-makemethods
p5.28-class-makemethods        @1.10.0         perl/p5-class-makemethods
p5.30-class-makemethods        @1.10.0         perl/p5-class-makemethods
p5.32-class-makemethods        @1.10.0         perl/p5-class-makemethods
p5-class-method-modifiers      @2.130.0        perl/p5-class-method-modifiers
p5.28-class-method-modifiers   @2.130.0        perl/p5-class-method-modifiers
p5.30-class-method-modifiers   @2.130.0        perl/p5-class-method-modifiers
p5.32-class-method-modifiers   @2.130.0        perl/p5-class-method-modifiers
p5-class-methodmaker           @2.240.0        perl/p5-class-methodmaker
p5.28-class-methodmaker        @2.240.0        perl/p5-class-methodmaker
p5.30-class-methodmaker        @2.240.0        perl/p5-class-methodmaker
p5.32-class-methodmaker        @2.240.0        perl/p5-class-methodmaker
p5-class-mix                   @0.6.0          perl/p5-class-mix
p5.28-class-mix                @0.6.0          perl/p5-class-mix
p5.30-class-mix                @0.6.0          perl/p5-class-mix
p5.32-class-mix                @0.6.0          perl/p5-class-mix
p5-class-refresh               @0.70.0         perl/p5-class-refresh
p5.28-class-refresh            @0.70.0         perl/p5-class-refresh
p5.30-class-refresh            @0.70.0         perl/p5-class-refresh
p5.32-class-refresh            @0.70.0         perl/p5-class-refresh
p5-class-returnvalue           @0.550.0        perl/p5-class-returnvalue
p5.28-class-returnvalue        @0.550.0        perl/p5-class-returnvalue
p5.30-class-returnvalue        @0.550.0        perl/p5-class-returnvalue
p5.32-class-returnvalue        @0.550.0        perl/p5-class-returnvalue
p5-class-singleton             @1.600.0        perl/p5-class-singleton
p5.28-class-singleton          @1.600.0        perl/p5-class-singleton
p5.30-class-singleton          @1.600.0        perl/p5-class-singleton
p5.32-class-singleton          @1.600.0        perl/p5-class-singleton
p5-class-throwable             @0.130.0        perl/p5-class-throwable
p5.28-class-throwable          @0.130.0        perl/p5-class-throwable
p5.30-class-throwable          @0.130.0        perl/p5-class-throwable
p5.32-class-throwable          @0.130.0        perl/p5-class-throwable
p5-class-tiny                  @1.8.0          perl/p5-class-tiny
p5.28-class-tiny               @1.8.0          perl/p5-class-tiny
p5.30-class-tiny               @1.8.0          perl/p5-class-tiny
p5.32-class-tiny               @1.8.0          perl/p5-class-tiny
p5-class-tiny-chained          @0.4.0          perl/p5-class-tiny-chained
p5.28-class-tiny-chained       @0.4.0          perl/p5-class-tiny-chained
p5.30-class-tiny-chained       @0.4.0          perl/p5-class-tiny-chained
p5.32-class-tiny-chained       @0.4.0          perl/p5-class-tiny-chained
p5-class-trigger               @0.150.0        perl/p5-class-trigger
p5.28-class-trigger            @0.150.0        perl/p5-class-trigger
p5.30-class-trigger            @0.150.0        perl/p5-class-trigger
p5.32-class-trigger            @0.150.0        perl/p5-class-trigger
p5-class-unload                @0.110.0        perl/p5-class-unload
p5.28-class-unload             @0.110.0        perl/p5-class-unload
p5.30-class-unload             @0.110.0        perl/p5-class-unload
p5.32-class-unload             @0.110.0        perl/p5-class-unload
p5-class-whitehole             @0.40.0         perl/p5-class-whitehole
p5.28-class-whitehole          @0.40.0         perl/p5-class-whitehole
p5.30-class-whitehole          @0.40.0         perl/p5-class-whitehole
p5.32-class-whitehole          @0.40.0         perl/p5-class-whitehole
p5-class-xsaccessor            @1.190.0        perl/p5-class-xsaccessor
p5.28-class-xsaccessor         @1.190.0        perl/p5-class-xsaccessor
p5.30-class-xsaccessor         @1.190.0        perl/p5-class-xsaccessor
p5.32-class-xsaccessor         @1.190.0        perl/p5-class-xsaccessor
p5-clipboard                   @0.260.0        perl/p5-clipboard
p5.28-clipboard                @0.260.0        perl/p5-clipboard
p5.30-clipboard                @0.260.0        perl/p5-clipboard
p5.32-clipboard                @0.260.0        perl/p5-clipboard
p5-clone                       @0.450.0        perl/p5-clone
p5.28-clone                    @0.450.0        perl/p5-clone
p5.30-clone                    @0.450.0        perl/p5-clone
p5.32-clone                    @0.450.0        perl/p5-clone
p5-clone-choose                @0.10.0         perl/p5-clone-choose
p5.28-clone-choose             @0.10.0         perl/p5-clone-choose
p5.30-clone-choose             @0.10.0         perl/p5-clone-choose
p5.32-clone-choose             @0.10.0         perl/p5-clone-choose
p5-clone-pp                    @1.80.0         perl/p5-clone-pp
p5.28-clone-pp                 @1.80.0         perl/p5-clone-pp
p5.30-clone-pp                 @1.80.0         perl/p5-clone-pp
p5.32-clone-pp                 @1.80.0         perl/p5-clone-pp
p5-code-tidyall                @0.780.0        perl/p5-code-tidyall
p5.28-code-tidyall             @0.780.0        perl/p5-code-tidyall
p5.30-code-tidyall             @0.780.0        perl/p5-code-tidyall
p5.32-code-tidyall             @0.780.0        perl/p5-code-tidyall
p5-color-library               @0.21.0         perl/p5-color-library
p5.28-color-library            @0.21.0         perl/p5-color-library
p5.30-color-library            @0.21.0         perl/p5-color-library
p5.32-color-library            @0.21.0         perl/p5-color-library
p5-color-scheme                @1.70.0         perl/p5-color-scheme
p5.28-color-scheme             @1.70.0         perl/p5-color-scheme
p5.30-color-scheme             @1.70.0         perl/p5-color-scheme
p5.32-color-scheme             @1.70.0         perl/p5-color-scheme
p5-commandable                 @0.40.0         perl/p5-commandable
p5.28-commandable              @0.40.0         perl/p5-commandable
p5.30-commandable              @0.40.0         perl/p5-commandable
p5.32-commandable              @0.40.0         perl/p5-commandable
p5-common-sense                @3.750.0        perl/p5-common-sense
p5.28-common-sense             @3.750.0        perl/p5-common-sense
p5.30-common-sense             @3.750.0        perl/p5-common-sense
p5.32-common-sense             @3.750.0        perl/p5-common-sense
p5-compiler-lexer              @0.230.0        perl/p5-compiler-lexer
p5.28-compiler-lexer           @0.230.0        perl/p5-compiler-lexer
p5.30-compiler-lexer           @0.230.0        perl/p5-compiler-lexer
p5.32-compiler-lexer           @0.230.0        perl/p5-compiler-lexer
p5-compress-bzip2              @2.280.0        perl/p5-compress-bzip2
p5.28-compress-bzip2           @2.280.0        perl/p5-compress-bzip2
p5.30-compress-bzip2           @2.280.0        perl/p5-compress-bzip2
p5.32-compress-bzip2           @2.280.0        perl/p5-compress-bzip2
p5-compress-lzf                @3.800.0        perl/p5-compress-lzf
p5.28-compress-lzf             @3.800.0        perl/p5-compress-lzf
p5.30-compress-lzf             @3.800.0        perl/p5-compress-lzf
p5.32-compress-lzf             @3.800.0        perl/p5-compress-lzf
p5-compress-raw-bzip2          @2.101.0        perl/p5-compress-raw-bzip2
p5.28-compress-raw-bzip2       @2.101.0        perl/p5-compress-raw-bzip2
p5.30-compress-raw-bzip2       @2.101.0        perl/p5-compress-raw-bzip2
p5.32-compress-raw-bzip2       @2.101.0        perl/p5-compress-raw-bzip2
p5-compress-raw-lzma           @2.101.0        perl/p5-compress-raw-lzma
p5.28-compress-raw-lzma        @2.101.0        perl/p5-compress-raw-lzma
p5.30-compress-raw-lzma        @2.101.0        perl/p5-compress-raw-lzma
p5.32-compress-raw-lzma        @2.101.0        perl/p5-compress-raw-lzma
p5-compress-raw-zlib           @2.101.0        perl/p5-compress-raw-zlib
p5.28-compress-raw-zlib        @2.101.0        perl/p5-compress-raw-zlib
p5.30-compress-raw-zlib        @2.101.0        perl/p5-compress-raw-zlib
p5.32-compress-raw-zlib        @2.101.0        perl/p5-compress-raw-zlib
p5-compress-snappy             @0.240.0        perl/p5-compress-snappy
p5.28-compress-snappy          @0.240.0        perl/p5-compress-snappy
p5.30-compress-snappy          @0.240.0        perl/p5-compress-snappy
p5.32-compress-snappy          @0.240.0        perl/p5-compress-snappy
p5-compress-stream-zstd        @0.202.0        perl/p5-compress-stream-zstd
p5.28-compress-stream-zstd     @0.202.0        perl/p5-compress-stream-zstd
p5.30-compress-stream-zstd     @0.202.0        perl/p5-compress-stream-zstd
p5.32-compress-stream-zstd     @0.202.0        perl/p5-compress-stream-zstd
p5-conf-libconfig              @0.100.0        perl/p5-conf-libconfig
p5.28-conf-libconfig           @0.100.0        perl/p5-conf-libconfig
p5.30-conf-libconfig           @0.100.0        perl/p5-conf-libconfig
p5.32-conf-libconfig           @0.100.0        perl/p5-conf-libconfig
p5-config-any                  @0.320.0        perl/p5-config-any
p5.28-config-any               @0.320.0        perl/p5-config-any
p5.30-config-any               @0.320.0        perl/p5-config-any
p5.32-config-any               @0.320.0        perl/p5-config-any
p5-config-autoconf             @0.320.0        perl/p5-config-autoconf
p5.28-config-autoconf          @0.320.0        perl/p5-config-autoconf
p5.30-config-autoconf          @0.320.0        perl/p5-config-autoconf
p5.32-config-autoconf          @0.320.0        perl/p5-config-autoconf
p5-config-general              @2.630.0        perl/p5-config-general
p5.28-config-general           @2.630.0        perl/p5-config-general
p5.30-config-general           @2.630.0        perl/p5-config-general
p5.32-config-general           @2.630.0        perl/p5-config-general
p5-config-grammar              @1.130.0        perl/p5-config-grammar
p5.28-config-grammar           @1.130.0        perl/p5-config-grammar
